open_time,open,high,low,close,volume,close_time,symbol
1761606660000,114074.07000000,114104.09000000,114070.66000000,114070.67000000,4.66709000,1761606719999,532461.88546360,2175,2.45338000,279898.69303390,0,BTCUSDT
1761606720000,114070.66000000,114070.67000000,113994.29000000,114014.83000000,5.77003000,1761606779999,657939.23858760,2630,2.39827000,273425.31889500,0,BTCUSDT
1761606780000,114014.82000000,114070.67000000,114014.82000000,114055.73000000,11.15040000,1761606839999,1271611.10484070,1512,8.01859000,914391.26272030,0,BTCUSDT
1761606840000,114055.73000000,114055.74000000,114014.84000000,114024.53000000,8.67433000,1761606899999,989028.05082350,951,1.52894000,174323.46087230,0,BTCUSDT
1761606900000,114024.54000000,114024.54000000,113868.93000000,113887.76000000,31.11707000,1761606959999,3545123.37130660,4703,8.03352000,914986.99022800,0,BTCUSDT
1761606960000,113887.76000000,113920.63000000,113830.01000000,113920.63000000,19.56288000,1761607019999,2227805.78866560,4437,11.08727000,1262663.43625870,0,BTCUSDT
1761607020000,113920.62000000,113940.00000000,113868.04000000,113929.88000000,8.17284000,1761607079999,930983.48458300,3432,4.84780000,552192.00407880,0,BTCUSDT
1761607080000,113929.88000000,113991.82000000,113929.88000000,113972.39000000,9.38716000,1761607139999,1069819.87763730,3375,4.38080000,499187.73449020,0,BTCUSDT
1761607140000,113972.40000000,114032.99000000,113972.39000000,114032.98000000,11.81372000,1761607199999,1346917.26785420,1866,9.47057000,1079731.55769710,0,BTCUSDT
1761607200000,114032.99000000,114057.99000000,113919.25000000,113920.38000000,24.82765000,1761607259999,2829296.10048700,5519,5.96026000,679446.72967530,0,BTCUSDT
1761607260000,113920.39000000,113974.83000000,113920.39000000,113960.00000000,7.84051000,1761607319999,893400.84046130,2315,3.53095000,402305.19062820,0,BTCUSDT
1761607320000,113960.01000000,113974.82000000,113941.30000000,113963.27000000,15.37818000,1761607379999,1752460.48350820,2619,1.74148000,198443.51502500,0,BTCUSDT
1761607380000,113963.26000000,113977.61000000,113941.30000000,113941.31000000,8.50467000,1761607439999,969139.86153010,1145,1.66175000,189355.60940250,0,BTCUSDT
1761607440000,113941.30000000,113941.31000000,113859.63000000,113885.58000000,37.89528000,1761607499999,4316712.45491610,2601,2.94800000,335729.96477450,0,BTCUSDT
1761607500000,113885.59000000,114000.00000000,113863.70000000,113997.89000000,22.64063000,1761607559999,2579469.92945320,3741,7.76515000,884719.37783890,0,BTCUSDT
1761607560000,113997.89000000,114034.09000000,113971.51000000,114023.61000000,7.46657000,1761607619999,851349.50218860,2619,2.76875000,315679.24988800,0,BTCUSDT
1761607620000,114023.62000000,114029.47000000,113996.50000000,114029.47000000,8.65076000,1761607679999,986316.10933670,1775,2.90897000,331639.77066360,0,BTCUSDT
1761607680000,114029.47000000,114029.47000000,113996.50000000,114008.74000000,13.67828000,1761607739999,1559434.28195500,1612,1.23088000,140320.73583340,0,BTCUSDT
